achievements_unlocked,active_aliases,active_characters,alias_messages_sent,average_gold_per_session,average_session_length_hours,average_xp_per_session,combat_sessions,combat_time_hours,consecutive_sessions,created_at,dm_time_hours,favorite_session_type,first_dm_session_date,first_session_date,guild,guild_id,highest_character_level,id,last_session_date,longest_session_hours,longest_session_minutes,max_consecutive_sessions,messages_sent_in_sessions,metadata,mixed_sessions,mixed_time_hours,month_start_date,most_active_day,most_active_hour,other_sessions,other_time_hours,perfect_attendance_streaks,players_helped,players_helped_as_dm,registry,sessions_as_dm,sessions_completed,sessions_early_leave,sessions_hosted_combat,sessions_hosted_mixed,sessions_hosted_other,sessions_hosted_social,sessions_joined_late,sessions_this_month,sessions_this_week,shortest_session_hours,social_sessions,social_time_hours,total_achievement_points,total_aliases_created,total_characters_played,total_gold_earned,total_session_time_hours,total_sessions,total_xp_earned,unique_character_names,updated_at,user_id,week_start_date
,3,,30,150.0,2.5,300.0,3,0.0,2,2025-08-12T06:30:00,6.0,Combat,,2024-06-01T00:00:00,,1220870932598906971,10,1,,4.5,,3,45,MetaData(),0,0.0,,,,0,0.0,,,0,<sqlalchemy.orm.decl_api.registry object at 0x7f6318d7b450>,2,4,0,0,0,0,0,,0,0,24.0,2,0.0,,5,3,750,12.5,5,1500,0,2025-08-12T06:30:00,139839740888186880,
0,0,0,0,0.0,0.0,0.0,0,0.0,0,2025-08-12T06:50:39.299607,0.0,,,,<models.Guild object at 0x7f63183709d0>,1402043473322053683,1,2,,0.0,0,0,0,MetaData(),0,0.0,,,,0,0.0,0,0,0,<sqlalchemy.orm.decl_api.registry object at 0x7f6318d7b450>,0,0,0,0,0,0,0,0,0,0,24.0,0,0.0,0,0,0,0,0.0,0,0,0,2025-08-12T06:50:39.299611,205539361096335371,
0,0,0,0,0.0,0.0,0.0,0,0.0,0,2025-08-12T18:42:02.554276,0.0,,,,<models.Guild object at 0x7f63183709d0>,1402043473322053683,1,3,,0.0,0,0,0,MetaData(),0,0.0,,,,0,0.0,0,0,0,<sqlalchemy.orm.decl_api.registry object at 0x7f6318d7b450>,0,0,0,0,0,0,0,0,0,0,24.0,0,0.0,0,0,0,0,0.0,0,0,0,2025-08-12T18:42:02.554280,1114551967713329163,
