aliases,allow_member_invites,created_at,description,group_name,guild,guild_id,id,is_active,is_single_alias,metadata,owner_id,permissions,registry,single_alias_id,subgroup_name,updated_at
[],False,2025-08-11T04:03:03.203268,,Shared group test,<models.Guild object at 0x7f6318372790>,0,2,True,False,MetaData(),205539361096335371,[<models.SharedGroupPermission object at 0x7f6317f09450>],<sqlalchemy.orm.decl_api.registry object at 0x7f6318d7b450>,,,2025-08-11T04:03:03.203274
[],False,2025-08-11T22:21:26.945233,Shared group: Heist,Heist,<models.Guild object at 0x7f63183709d0>,1402043473322053683,3,True,False,MetaData(),205539361096335371,[<models.SharedGroupPermission object at 0x7f6317f097d0>],<sqlalchemy.orm.decl_api.registry object at 0x7f6318d7b450>,,,2025-08-11T22:21:26.945237
[],False,2025-08-12T18:30:11.110369,Shared character: Malachi Valerius,_SINGLE_ALIAS_16,<models.Guild object at 0x7f63183709d0>,1402043473322053683,4,True,True,MetaData(),205539361096335371,[<models.SharedGroupPermission object at 0x7f6317f0a010>],<sqlalchemy.orm.decl_api.registry object at 0x7f6318d7b450>,16,,2025-08-12T18:30:11.110372
