created_at,id,last_member_sync,members,metadata,name,registry,sessions
2025-08-11T03:48:22.017764,0,,[],MetaData(),Default Guild,<sqlalchemy.orm.decl_api.registry object at 0x7f6318d7b450>,[]
2025-08-07T00:42:11.505367,1402043473322053683,2025-08-14T04:39:22.325589,"[<models.GuildMember object at 0x7f63183a06d0>, <models.GuildMember object at 0x7f63183a0750>, <models.GuildMember object at 0x7f63183a07d0>, <models.GuildMember object at 0x7f63183a0850>, <models.GuildMember object at 0x7f63183a08d0>, <models.GuildMember object at 0x7f63183a0990>, <models.GuildMember object at 0x7f63183a0a10>, <models.GuildMember object at 0x7f63183a0a90>, <models.GuildMember object at 0x7f63183a0b10>, <models.GuildMember object at 0x7f63183a0950>, <models.GuildMember object at 0x7f63183a0c90>, <models.GuildMember object at 0x7f63183a0d90>, <models.GuildMember object at 0x7f63183a0e90>, <models.GuildMember object at 0x7f63183a0f90>, <models.GuildMember object at 0x7f63183a1090>, <models.GuildMember object at 0x7f63183a1190>]",MetaData(),The Loom of Legends,<sqlalchemy.orm.decl_api.registry object at 0x7f6318d7b450>,[]
